Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,ACCL:L1B:0240:GACT,CHTR:CM02:1455:HV:POWER,CPT:CM02:2302:DS:PRESS
2019-03-27-16:28:12,23.9141,98.3247,75.522,15.9795,1.92181,28.4518
2019-03-27-16:28:13,23.9141,98.0515,75.522,15.9795,1.92181,28.4518
2019-03-27-16:28:14,23.9141,98.166,75.7652,15.9795,1.92181,28.4518
2019-03-27-16:28:15,23.9141,98.166,75.4919,15.9795,1.92181,28.4518
2019-03-27-16:28:16,23.9141,98.166,75.4919,15.9795,1.92181,28.4518
2019-03-27-16:28:17,23.9141,98.0546,75.6142,15.9795,1.92181,28.4518
2019-03-27-16:28:18,23.9141,98.1648,75.6142,15.9795,1.92181,28.4518
2019-03-27-16:28:19,23.9141,98.1648,75.6142,15.9795,1.92181,28.4518
2019-03-27-16:28:20,23.9141,98.3328,75.6142,15.9795,1.92181,28.4518
2019-03-27-16:28:21,23.9141,98.1988,75.6142,15.9795,1.92181,28.4518
2019-03-27-16:28:22,23.9141,98.1988,75.6142,15.9692,1.92181,28.4518
2019-03-27-16:28:23,23.9141,98.0467,75.4487,15.9692,1.92181,28.4518
2019-03-27-16:28:24,23.9141,98.2648,75.5533,15.9692,1.92181,28.4518
2019-03-27-16:28:25,23.9141,98.2648,75.5533,15.9692,1.92181,28.4518
2019-03-27-16:28:26,23.9141,97.8228,75.5533,15.9692,1.92181,28.4518
2019-03-27-16:28:27,23.9141,98.3155,75.5533,15.9692,1.92181,28.4518
2019-03-27-16:28:28,23.9141,97.971,75.4428,15.9692,1.92181,28.4518
2019-03-27-16:28:29,23.9141,98.3548,75.4428,15.9692,1.92181,28.4518
2019-03-27-16:28:30,23.9141,97.8426,75.4428,15.9692,1.92181,28.4518
2019-03-27-16:28:31,23.9141,98.0561,75.4428,15.9692,1.92181,28.4518
2019-03-27-16:28:32,23.9141,98.259,75.5711,15.9692,1.92181,28.4518
2019-03-27-16:28:33,23.9141,97.8184,75.4438,15.9692,1.92181,28.4518
2019-03-27-16:28:34,23.9141,98.0547,75.4438,15.9692,1.92181,28.4518
2019-03-27-16:28:35,23.9141,97.9228,75.5805,15.9692,1.92181,28.4518
2019-03-27-16:28:36,23.9141,98.1716,75.4673,15.9692,1.92181,28.4518
2019-03-27-16:28:37,23.9141,97.8651,75.4673,15.9692,1.92181,28.4518
2019-03-27-16:28:38,23.9141,98.1196,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:39,23.9141,98.2275,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:40,23.7734,98.0683,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:41,23.7734,97.8158,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:42,23.7734,98.0158,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:43,23.7734,97.8294,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:44,23.7734,98.1158,75.4673,15.9586,1.92181,28.4518
2019-03-27-16:28:45,23.7734,97.9812,75.4673,15.9586,1.92181,28.5541
2019-03-27-16:28:46,23.7734,97.9812,75.4673,15.9586,1.92181,28.5541
2019-03-27-16:28:47,23.7734,98.2212,75.4673,15.9586,1.92181,28.5541
2019-03-27-16:28:48,23.7734,97.803,75.4673,15.9586,1.92181,28.5541
2019-03-27-16:28:49,23.7734,98.1698,75.4673,15.9586,1.92181,28.5541
2019-03-27-16:28:50,23.7734,97.7859,75.4673,15.9586,1.92181,28.5541
2019-03-27-16:28:51,23.7734,98.0938,75.4673,15.9485,1.92181,28.5541
2019-03-27-16:28:52,23.7734,97.908,75.4673,15.9485,1.92181,28.5541
2019-03-27-16:28:53,23.7734,97.908,75.4673,15.9485,1.92181,28.5541
2019-03-27-16:28:54,23.7734,98.0658,75.6001,15.9485,1.92181,28.5541
2019-03-27-16:28:55,23.7734,97.8231,75.4524,15.9485,1.92181,28.5541
2019-03-27-16:28:56,23.7734,98.0479,75.5902,15.9485,1.92181,28.5541
2019-03-27-16:28:57,23.7734,97.8887,75.4561,15.9485,1.92181,28.5541
2019-03-27-16:28:58,23.7734,97.8887,75.4561,15.9485,1.92181,28.5541
