Date,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,CHTR:CM02:1155:HV:POWER
2019-03-27-11:03:25,24.0508,97.3599,75.0229,5.92058
2019-03-27-11:03:26,24.0508,97.3599,75.0229,5.92058
2019-03-27-11:03:27,24.0508,97.3599,75.1705,5.92058
2019-03-27-11:03:28,24.0508,97.3599,75.1705,5.92058
2019-03-27-11:03:29,24.0508,97.3599,75.1705,5.92058
2019-03-27-11:03:30,24.0508,97.7114,75.0651,5.92058
2019-03-27-11:03:31,24.0508,97.3565,75.0651,5.92058
2019-03-27-11:03:32,24.0508,97.4687,75.0651,5.92058
2019-03-27-11:03:33,24.0508,97.2952,75.0651,5.92058
2019-03-27-11:03:34,24.0508,97.445,75.0651,5.92058
2019-03-27-11:03:35,24.0508,97.3224,75.0651,5.92058
2019-03-27-11:03:36,24.0508,97.4718,75.0651,5.92058
2019-03-27-11:03:37,24.0508,97.581,75.0651,5.92058
2019-03-27-11:03:38,24.0508,97.3225,75.0651,5.92058
2019-03-27-11:03:39,24.0508,97.7504,75.0651,5.92058
2019-03-27-11:03:40,24.0508,97.3656,75.0651,5.92058
2019-03-27-11:03:41,24.0508,97.7711,75.0651,5.92058
2019-03-27-11:03:42,24.0508,97.549,75.0651,5.92058
2019-03-27-11:03:43,24.0508,97.8159,75.2024,5.92058
2019-03-27-11:03:44,24.0508,97.3125,75.0355,5.92058
2019-03-27-11:03:45,24.0508,97.3125,75.1388,5.92058
2019-03-27-11:03:46,24.0508,97.4816,74.9706,5.92058
2019-03-27-11:03:47,24.0508,97.5848,74.9706,5.92058
2019-03-27-11:03:48,24.0508,97.5848,75.147,5.92058
2019-03-27-11:03:49,24.0508,97.2844,75.147,5.92058
2019-03-27-11:03:50,24.0508,97.2844,74.9175,5.92058
2019-03-27-11:03:51,24.0508,97.4908,75.1738,5.92058
2019-03-27-11:03:52,24.0508,97.6395,75.0569,5.92058
2019-03-27-11:03:53,24.0508,97.6395,75.2017,5.92058
2019-03-27-11:03:54,24.0508,97.3715,75.0756,5.92058
2019-03-27-11:03:55,24.0508,97.3715,75.0756,5.92058
2019-03-27-11:03:56,24.0508,97.5059,75.0756,5.92058
2019-03-27-11:03:57,24.0508,97.316,75.0756,5.92058
2019-03-27-11:03:58,24.0508,97.5665,75.2444,5.92058
2019-03-27-11:03:59,24.0508,97.2775,75.0467,5.92058
2019-03-27-11:04:00,24.0508,97.2775,75.0467,5.92058
2019-03-27-11:04:01,23.9141,97.437,75.0467,5.92058
2019-03-27-11:04:02,23.9141,97.2725,75.0467,5.92058
2019-03-27-11:04:03,23.9141,97.5131,75.2613,5.92058
2019-03-27-11:04:04,23.9141,97.3155,75.0567,5.92058
2019-03-27-11:04:05,23.9141,97.5766,75.0567,5.92058
2019-03-27-11:04:06,23.9141,97.3104,75.0567,5.92058
2019-03-27-11:04:07,23.9141,97.4942,75.2057,5.92058
2019-03-27-11:04:08,23.9141,97.4942,75.2057,5.92058
2019-03-27-11:04:09,23.9141,97.6073,75.0752,5.92058
2019-03-27-11:04:10,23.9141,97.4333,75.0752,5.92058
2019-03-27-11:04:11,23.9141,97.4333,75.0752,5.92058
2019-03-27-11:04:12,23.9141,97.5913,75.0752,5.92058
2019-03-27-11:04:13,23.9141,97.3425,75.0752,5.92058
2019-03-27-11:04:14,23.9141,97.3425,75.0752,5.92058
2019-03-27-11:04:15,23.9141,97.3425,75.0752,5.92058
2019-03-27-11:04:16,23.9141,97.485,75.0752,5.92058
2019-03-27-11:04:17,23.9141,97.2864,75.0752,5.92058
2019-03-27-11:04:18,23.9141,97.6265,75.0752,5.92058
2019-03-27-11:04:19,23.9141,97.2738,75.0752,5.92058
2019-03-27-11:04:20,23.9141,97.2738,75.0752,5.92058
