time,Unix time,CHTR:CM02:1255:HV:POWER,CLL:CM02:2301:DS:LVL,CPV:CM02:3001:JT:POS_RBV,CLL:CM02:2601:US:LVL,CHTR:CM02:1855:HV:POWER
2019-03-03 14:10:14,1551640214.57,2.13125,96.4739,17.3984,74.1948,9.95721
2019-03-03 14:10:15,1551640215.56,2.13125,96.6717,17.3984,74.3522,9.95721
2019-03-03 14:10:16,1551640216.57,2.13125,96.4078,17.3984,74.3522,9.95721
2019-03-03 14:10:17,1551640217.56,2.13125,96.6507,17.3984,74.3522,9.95721
2019-03-03 14:10:18,1551640218.57,2.13125,96.4086,17.3984,74.3522,9.95721
2019-03-03 14:10:20,1551640220.56,2.13125,96.6068,17.3984,74.3522,9.95721
2019-03-03 14:10:21,1551640221.56,2.13125,96.6068,17.3984,74.6538,9.95721
2019-03-03 14:10:22,1551640222.56,2.13125,96.6068,17.3984,74.3537,9.95721
2019-03-03 14:10:23,1551640223.56,2.13125,96.397,17.3984,74.3537,9.95721
2019-03-03 14:10:25,1551640225.56,2.13125,96.5951,17.3984,74.3537,9.95721
2019-03-03 14:10:26,1551640226.56,2.13125,96.4047,17.3984,74.3537,9.95721
2019-03-03 14:10:27,1551640227.56,2.13125,96.5789,17.3984,74.3537,9.95721
2019-03-03 14:10:28,1551640228.56,2.13125,96.4306,17.3984,74.3537,9.95721
2019-03-03 14:10:32,1551640232.56,2.13125,96.7045,17.3984,74.3537,9.95721
2019-03-03 14:10:33,1551640233.56,2.13125,96.5608,17.3984,74.3537,9.95721
2019-03-03 14:10:34,1551640234.56,2.13125,96.4592,17.3984,74.3537,9.95721
2019-03-03 14:10:35,1551640235.56,2.13125,96.7265,17.3984,74.3537,9.95721
2019-03-03 14:10:36,1551640236.57,2.13125,96.3865,17.3984,74.4696,9.95721
2019-03-03 14:10:37,1551640237.56,2.13125,96.6853,17.3984,74.4696,9.95721
2019-03-03 14:10:38,1551640238.56,2.13125,96.5237,17.3984,74.4696,9.95721
2019-03-03 14:10:39,1551640239.56,2.13125,96.3933,17.3984,74.3431,9.95721
2019-03-03 14:10:41,1551640241.57,2.13125,96.3933,17.3984,74.4482,9.95721
2019-03-03 14:10:42,1551640242.57,2.13125,96.6301,17.3984,74.3305,9.95721
2019-03-03 14:10:43,1551640243.56,2.13125,96.6301,17.3984,74.4723,9.95721
2019-03-03 14:10:44,1551640244.57,2.13125,96.3786,17.3984,74.3366,9.95721
2019-03-03 14:10:45,1551640245.56,2.13125,96.6521,17.3984,74.3366,9.95721
2019-03-03 14:10:46,1551640246.56,2.13125,96.3939,17.3984,74.3366,9.95721
2019-03-03 14:10:48,1551640248.57,2.13125,96.5523,17.3984,74.4482,9.95721
2019-03-03 14:10:49,1551640249.56,2.13125,96.3751,17.3984,74.4482,9.95721
2019-03-03 14:10:50,1551640250.57,2.13125,96.3751,17.3984,74.3432,9.95721
2019-03-03 14:10:53,1551640253.56,2.13125,96.5355,17.3984,74.4847,9.95721
2019-03-03 14:10:54,1551640254.56,2.13125,96.5355,17.3984,74.3601,9.95721
