time,Unix time,CFICM0312,CPV:CM03:3001:JT:POS_RBV,CHTR:CM03:1155:HV:POWER,CLL:CM03:2601:US:LVL,CLL:CM03:2301:DS:LVL
2019-02-23 08:01:24,1550926884.95,4.875,48.543,14.9379,69.2229,89.9109
2019-02-23 08:01:25,1550926885.95,4.5625,48.543,14.9379,69.2229,89.9109
2019-02-23 08:01:26,1550926886.56,4.5625,48.543,14.9379,68.9768,90.1026
2019-02-23 08:01:26,1550926886.95,5.25,48.543,14.9379,68.9768,90.1026
2019-02-23 08:01:27,1550926887.56,5.25,48.543,14.9379,68.9768,89.9203
2019-02-23 08:01:27,1550926887.96,5.09375,48.543,14.9379,68.9768,89.9203
2019-02-23 08:01:28,1550926888.56,5.09375,48.543,14.9379,69.129,90.1054
2019-02-23 08:01:28,1550926888.96,4.5,48.543,14.9379,69.129,90.1054
2019-02-23 08:01:29,1550926889.56,4.5,48.543,14.9379,68.9233,89.9046
2019-02-23 08:01:29,1550926889.96,5,48.543,14.9379,68.9233,89.9046
2019-02-23 08:01:30,1550926890.56,5,48.543,14.9379,69.2573,89.9046
2019-02-23 08:01:30,1550926890.96,5.28125,48.543,14.9379,69.2573,89.9046
2019-02-23 08:01:31,1550926891.56,5.28125,48.543,14.9379,68.9666,90.0929
2019-02-23 08:01:31,1550926891.97,4.5625,48.543,14.9379,68.9666,90.0929
2019-02-23 08:01:32,1550926892.56,4.5625,48.543,14.9379,69.0691,89.9801
2019-02-23 08:01:32,1550926892.97,4.78125,48.543,14.9379,69.0691,89.9801
2019-02-23 08:01:33,1550926893.56,4.78125,48.543,14.9379,69.0691,90.1076
2019-02-23 08:01:33,1550926893.97,5.25,48.543,14.9379,69.0691,90.1076
2019-02-23 08:01:34,1550926894.56,5.25,48.543,14.9379,68.9645,89.9517
2019-02-23 08:01:34,1550926894.98,4.71875,48.543,14.9379,68.9645,89.9517
2019-02-23 08:01:35,1550926895.98,4.4375,48.543,14.9379,68.9645,89.9517
2019-02-23 08:01:36,1550926896.56,4.4375,46.3906,14.9379,69.1575,90.1446
2019-02-23 08:01:36,1550926896.98,4.75,46.3906,14.9379,69.1575,90.1446
2019-02-23 08:01:37,1550926897.56,4.75,46.3906,14.9379,69.1575,89.9162
2019-02-23 08:01:37,1550926897.99,4.3125,46.3906,14.9379,69.1575,89.9162
2019-02-23 08:01:38,1550926898.56,4.3125,46.3906,14.9379,68.933,90.1209
2019-02-23 08:01:38,1550926898.99,3.84375,46.3906,14.9379,68.933,90.1209
2019-02-23 08:01:39,1550926899.56,3.84375,46.3906,14.9379,69.2321,89.9193
2019-02-23 08:01:39,1550926899.99,4.4375,46.3906,14.9379,69.2321,89.9193
2019-02-23 08:01:40,1550926900.56,4.4375,46.3906,14.9379,69.0526,90.1653
2019-02-23 08:01:41,1550926901.56,4.4375,46.3906,14.9379,69.1909,89.9361
2019-02-23 08:01:41,1550926902.00,3.8125,46.3906,14.9379,69.1909,89.9361
2019-02-23 08:01:42,1550926902.56,3.8125,46.3906,14.9379,69.6162,90.1376
2019-02-23 08:01:43,1550926903.00,4.21875,46.3906,14.9379,69.6162,90.1376
2019-02-23 08:01:43,1550926903.56,4.21875,46.3906,14.9379,68.9608,90.1376
2019-02-23 08:01:44,1550926904.00,4.5625,46.3906,14.9379,68.9608,90.1376
2019-02-23 08:01:44,1550926904.56,4.5625,46.3906,14.9379,69.1294,89.9433
2019-02-23 08:01:45,1550926905.00,3.9375,46.3906,14.9379,69.1294,89.9433
2019-02-23 08:01:45,1550926905.56,3.9375,46.3906,14.9379,68.9526,90.1418
2019-02-23 08:01:46,1550926906.56,3.9375,46.3906,14.9379,68.9526,89.9604
2019-02-23 08:01:47,1550926907.01,4.5625,46.3906,14.9379,68.9526,89.9604
2019-02-23 08:01:47,1550926907.56,4.5625,46.3906,14.9379,69.3141,89.9604
2019-02-23 08:01:48,1550926908.01,4.09375,46.3906,14.9379,69.3141,89.9604
2019-02-23 08:01:48,1550926908.56,4.09375,46.3906,14.9379,69.1357,90.0917
2019-02-23 08:01:49,1550926909.02,3.85938,46.3906,14.9379,69.1357,90.0917
2019-02-23 08:01:49,1550926909.56,3.85938,46.3906,14.9379,68.9386,89.9397
2019-02-23 08:01:50,1550926910.02,4.46875,46.3906,14.9379,68.9386,89.9397
2019-02-23 08:01:50,1550926910.56,4.46875,46.3906,14.9379,68.9386,90.2409
2019-02-23 08:01:51,1550926911.02,4.25,46.3906,14.9379,68.9386,90.2409
2019-02-23 08:01:51,1550926911.56,4.25,46.3906,14.9379,68.9386,90.0396
2019-02-23 08:01:52,1550926912.02,3.78125,46.3906,14.9379,68.9386,90.0396
2019-02-23 08:01:52,1550926912.56,3.78125,46.3906,14.9379,69.2879,90.0396
2019-02-23 08:01:53,1550926913.03,4.34375,46.3906,14.9379,69.2879,90.0396
2019-02-23 08:01:53,1550926913.56,4.34375,46.3906,14.9379,69.102,90.0396
2019-02-23 08:01:54,1550926914.03,4.46875,46.3906,14.9379,69.102,90.0396
2019-02-23 08:01:54,1550926914.56,4.46875,46.3906,14.9379,69.3071,90.0396
2019-02-23 08:01:55,1550926915.03,3.82812,46.3906,14.9379,69.3071,90.0396
2019-02-23 08:01:55,1550926915.56,3.82812,46.3906,14.9379,69.0289,90.0396
2019-02-23 08:01:56,1550926916.04,4.1875,46.3906,14.9379,69.0289,90.0396
2019-02-23 08:01:57,1550926917.04,4.8125,46.3906,14.9379,69.0289,90.0396
2019-02-23 08:01:57,1550926917.56,4.8125,47.9453,14.9379,69.3552,90.0396
2019-02-23 08:01:58,1550926918.04,4.3125,47.9453,14.9379,69.3552,90.0396
2019-02-23 08:01:58,1550926918.56,4.3125,47.9453,14.9379,68.9373,90.0396
2019-02-23 08:01:59,1550926919.56,4.3125,47.9453,14.9379,69.0764,89.9262
2019-02-23 08:02:00,1550926920.05,5,47.9453,14.9379,69.0764,89.9262
2019-02-23 08:02:01,1550926921.05,4.53125,47.9453,14.9379,69.0764,89.9262
2019-02-23 08:02:02,1550926922.05,4.21875,47.9453,14.9379,69.0764,89.9262
2019-02-23 08:02:02,1550926922.56,4.21875,47.9453,14.9379,69.3192,89.9262
2019-02-23 08:02:03,1550926923.06,4.8125,47.9453,14.9379,69.3192,89.9262
2019-02-23 08:02:03,1550926923.56,4.8125,47.9453,14.9379,69.0358,90.0363
2019-02-23 08:02:04,1550926924.06,4.6875,47.9453,14.9379,69.0358,90.0363
2019-02-23 08:02:05,1550926925.06,4.21875,47.9453,14.9379,69.0358,90.0363
2019-02-23 08:02:06,1550926926.07,4.625,47.9453,14.9379,69.0358,90.0363
2019-02-23 08:02:06,1550926926.56,4.625,47.9453,14.9379,69.3146,90.0363
2019-02-23 08:02:07,1550926927.07,4.875,47.9453,14.9379,69.3146,90.0363
2019-02-23 08:02:07,1550926927.56,4.875,47.9453,14.9379,69.0566,90.0363
2019-02-23 08:02:08,1550926928.07,4.28125,47.9453,14.9379,69.0566,90.0363
2019-02-23 08:02:08,1550926928.56,4.28125,47.9453,14.9379,69.2438,90.0363
2019-02-23 08:02:10,1550926930.09,4.96875,47.9453,14.9379,69.2438,90.0363
2019-02-23 08:02:10,1550926930.56,4.96875,47.9453,14.9379,69.0263,90.0363
2019-02-23 08:02:11,1550926931.09,4.4375,47.9453,14.9379,69.0263,90.0363
2019-02-23 08:02:12,1550926932.09,4.25,47.9453,14.9379,69.0263,90.0363
2019-02-23 08:02:12,1550926932.56,4.25,47.9453,14.9379,69.0263,89.9219
2019-02-23 08:02:13,1550926933.10,4.9375,47.9453,14.9379,69.0263,89.9219
2019-02-23 08:02:13,1550926933.56,4.9375,47.9453,14.9379,69.0263,90.0915
2019-02-23 08:02:14,1550926934.11,4.59375,47.9453,14.9379,69.0263,90.0915
2019-02-23 08:02:14,1550926934.56,4.59375,47.9453,14.9379,69.2701,90.0915
2019-02-23 08:02:15,1550926935.11,4.1875,47.9453,14.9379,69.2701,90.0915
2019-02-23 08:02:15,1550926935.56,4.1875,47.9453,14.9379,69.0652,90.0915
2019-02-23 08:02:16,1550926936.11,4.78125,47.9453,14.9379,69.0652,90.0915
2019-02-23 08:02:16,1550926936.56,4.78125,47.9453,14.9379,69.1746,89.9308
2019-02-23 08:02:17,1550926937.56,4.78125,47.9453,14.9379,69.034,89.9308
2019-02-23 08:02:18,1550926938.12,4.1875,47.9453,14.9379,69.034,89.9308
2019-02-23 08:02:18,1550926938.56,4.1875,47.9453,14.9379,69.034,89.8163
2019-02-23 08:02:19,1550926939.12,4.53125,47.9453,14.9379,69.034,89.8163
2019-02-23 08:02:19,1550926939.56,4.53125,47.9453,14.9379,69.034,89.9407
2019-02-23 08:02:20,1550926940.12,4.9375,47.9453,14.9379,69.034,89.9407
2019-02-23 08:02:21,1550926941.13,4.28125,47.9453,14.9379,69.034,89.9407
2019-02-23 08:02:21,1550926941.56,4.28125,47.9453,14.9379,68.9326,89.9407
2019-02-23 08:02:23,1550926943.13,4.90625,47.9453,14.9379,68.9326,89.9407
2019-02-23 08:02:23,1550926943.56,4.90625,47.9453,14.9379,68.9326,90.0411
2019-02-23 08:02:24,1550926944.14,4.4375,47.9453,14.9379,68.9326,90.0411
2019-02-23 08:02:25,1550926945.14,4.125,47.9453,14.9379,68.9326,90.0411
2019-02-23 08:02:25,1550926945.56,4.125,47.9453,14.9379,69.1914,90.1562
2019-02-23 08:02:26,1550926946.14,4.8125,47.9453,14.9379,69.1914,90.1562
2019-02-23 08:02:26,1550926946.56,4.8125,47.9453,14.9379,69.1914,89.9297
2019-02-23 08:02:27,1550926947.14,4.6875,47.9453,14.9379,69.1914,89.9297
2019-02-23 08:02:27,1550926947.56,4.6875,47.9453,14.9379,69.0041,90.1225
2019-02-23 08:02:28,1550926948.15,4.125,47.9453,14.9379,69.0041,90.1225
2019-02-23 08:02:28,1550926948.56,4.125,47.9453,14.9379,69.0041,89.9713
2019-02-23 08:02:29,1550926949.15,4.5625,47.9453,14.9379,69.0041,89.9713
2019-02-23 08:02:30,1550926950.15,4.8125,47.9453,14.9379,69.0041,89.9713
2019-02-23 08:02:31,1550926951.15,4.25,47.9453,14.9379,69.0041,89.9713
2019-02-23 08:02:31,1550926951.56,4.25,47.9453,14.9379,69.0041,90.117
2019-02-23 08:02:32,1550926952.16,4.40625,47.9453,14.9379,69.0041,90.117
2019-02-23 08:02:32,1550926952.56,4.40625,47.9453,14.9379,69.1757,90.117
2019-02-23 08:02:33,1550926953.16,4.9375,47.9453,14.9379,69.1757,90.117
2019-02-23 08:02:33,1550926953.56,4.9375,47.9453,14.9379,68.9315,89.9205
2019-02-23 08:02:34,1550926954.16,4.375,47.9453,14.9379,68.9315,89.9205
2019-02-23 08:02:34,1550926954.56,4.375,47.9453,14.9379,69.2748,89.9205
2019-02-23 08:02:35,1550926955.16,4.25,47.9453,14.9379,69.2748,89.9205
2019-02-23 08:02:35,1550926955.56,4.25,47.9453,14.9379,69.2748,90.0592
2019-02-23 08:02:36,1550926956.17,4.84375,47.9453,14.9379,69.2748,90.0592
2019-02-23 08:02:37,1550926957.17,4.375,47.9453,14.9379,69.2748,90.0592
2019-02-23 08:02:37,1550926957.57,4.375,47.0391,14.9379,69.2748,90.0592
2019-02-23 08:02:38,1550926958.17,3.96875,47.0391,14.9379,69.2748,90.0592
2019-02-23 08:02:38,1550926958.56,3.96875,47.4688,14.9379,69.0267,90.0592
2019-02-23 08:02:39,1550926959.18,4.6875,47.4688,14.9379,69.0267,90.0592
2019-02-23 08:02:39,1550926959.56,4.6875,47.4688,14.9379,69.1408,89.9473
2019-02-23 08:02:40,1550926960.56,4.6875,47.4688,14.9379,69.1408,90.0824
2019-02-23 08:02:41,1550926961.19,4.03125,47.4688,14.9379,69.1408,90.0824
2019-02-23 08:02:41,1550926961.56,4.03125,47.4688,14.9379,69.1408,89.9324
2019-02-23 08:02:42,1550926962.19,4.4375,47.4688,14.9379,69.1408,89.9324
2019-02-23 08:02:42,1550926962.56,4.4375,47.4688,14.9379,69.1408,90.1332
2019-02-23 08:02:43,1550926963.20,4.875,47.4688,14.9379,69.1408,90.1332
2019-02-23 08:02:44,1550926964.20,4.21875,47.4688,14.9379,69.1408,90.1332
2019-02-23 08:02:44,1550926964.56,4.21875,47.4688,14.9379,69.1408,90.3034
2019-02-23 08:02:45,1550926965.56,4.21875,47.4688,14.9379,68.9243,89.9191
2019-02-23 08:02:46,1550926966.21,4.96875,47.4688,14.9379,68.9243,89.9191
2019-02-23 08:02:46,1550926966.56,4.96875,47.4688,14.9379,69.0849,89.9191
2019-02-23 08:02:47,1550926967.21,4.5,47.4688,14.9379,69.0849,89.9191
2019-02-23 08:02:47,1550926967.56,4.5,47.4688,14.9379,69.0849,90.1742
2019-02-23 08:02:48,1550926968.21,4.1875,47.4688,14.9379,69.0849,90.1742
2019-02-23 08:02:48,1550926968.56,4.1875,47.4688,14.9379,68.9437,90.038
2019-02-23 08:02:49,1550926969.21,4.78125,47.4688,14.9379,68.9437,90.038
2019-02-23 08:02:49,1550926969.56,4.78125,47.4688,14.9379,69.0478,90.1421
2019-02-23 08:02:50,1550926970.22,4.625,47.4688,14.9379,69.0478,90.1421
2019-02-23 08:02:50,1550926970.56,4.625,47.4688,14.9379,69.1653,89.8487
2019-02-23 08:02:51,1550926971.22,4.21875,47.4688,14.9379,69.1653,89.8487
2019-02-23 08:02:52,1550926972.22,4.625,47.4688,14.9379,69.1653,89.8487
2019-02-23 08:02:52,1550926972.56,4.625,47.4688,14.9379,69.1653,90.3066
2019-02-23 08:02:53,1550926973.23,4.8125,47.4688,14.9379,69.1653,90.3066
2019-02-23 08:02:53,1550926973.56,4.8125,47.4688,14.9379,69.1653,89.9421
2019-02-23 08:02:54,1550926974.23,4.28125,47.4688,14.9379,69.1653,89.9421
2019-02-23 08:02:54,1550926974.56,4.28125,47.4688,14.9379,69.1653,90.2894
2019-02-23 08:02:55,1550926975.23,4.5,47.4688,14.9379,69.1653,90.2894
2019-02-23 08:02:55,1550926975.56,4.5,47.4688,14.9379,69.27,89.9324
2019-02-23 08:02:56,1550926976.24,5.03125,47.4688,14.9379,69.27,89.9324
2019-02-23 08:02:56,1550926976.56,5.03125,48.543,14.9379,69.0157,90.297
2019-02-23 08:02:57,1550926977.24,4.6875,48.543,14.9379,69.0157,90.297
2019-02-23 08:02:57,1550926977.56,4.6875,48.543,14.9379,69.146,89.8445
