time,Unix time,CPT:CM02:2302:DS:PRESS,CHTR:CM02:1455:HV:POWER,CLL:CM02:2601:US:LVL,CLL:CM02:2301:DS:LVL,CTE:CM02:1420:DH:TEMP,CTE:CM02:1418:UH:TEMP,ACCL:L1B:0240:CPLRTEMP1,ACCL:L1B:0240:CPLRTEMP2,CPV:CM02:3001:JT:POS_RBV
2019-03-17 12:08:30,1552838910.56,29.5314,1.91554,72.8844,94.5544,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:31,1552838911.56,29.5314,1.91554,72.5331,94.5544,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:32,1552838912.56,29.5314,1.91554,72.7948,94.5544,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:33,1552838913.56,29.5314,1.91554,72.7948,94.7018,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:34,1552838914.56,29.5314,1.91554,72.5594,94.4687,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:35,1552838915.56,29.5314,1.91554,72.8812,94.7444,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:36,1552838916.56,29.5314,1.91554,72.5418,94.5985,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:38,1552838918.56,29.5314,1.91554,72.6657,94.5985,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:39,1552838919.56,29.5314,1.91554,72.5564,94.5985,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:40,1552838920.56,29.5314,1.91554,72.6825,94.4689,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:41,1552838921.56,29.5314,1.91554,72.5592,94.5955,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:42,1552838922.56,29.5314,1.91554,72.7309,94.5955,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:43,1552838923.56,29.5314,1.91554,72.7309,94.7507,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:44,1552838924.56,29.5314,1.91554,72.5646,94.5114,5.39695,6.23439,72.1262,73.6684,36.3906
2019-03-17 12:08:45,1552838925.16,29.5314,1.91554,72.5646,94.5114,5.39695,6.23439,72.2278,73.6684,36.3906
2019-03-17 12:08:50,1552838930.56,29.5314,1.91554,72.7929,94.5114,5.39695,6.23439,72.2278,73.6684,36.3906
2019-03-17 12:08:51,1552838931.56,29.5314,1.91554,72.5779,94.5114,5.39695,6.23439,72.2278,73.6684,36.3906
2019-03-17 12:08:52,1552838932.57,29.5314,1.91554,72.5779,94.5114,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:08:54,1552838934.56,29.5314,1.91554,72.7646,94.5114,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:08:55,1552838935.56,29.5314,1.91554,72.5799,94.5114,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:08:56,1552838936.56,29.5314,1.91554,72.5799,94.618,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:08:57,1552838937.56,29.5314,1.91554,72.7001,94.618,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:08:59,1552838939.56,29.5314,1.91554,72.4775,94.4911,5.39695,6.23439,72.2278,73.6684,35.4023
2019-03-17 12:09:00,1552838940.56,29.5314,1.91554,72.793,94.6016,5.39695,6.23439,72.2278,73.6684,37.0234
2019-03-17 12:09:01,1552838941.57,29.5314,1.91554,72.793,94.6016,5.39695,6.23439,72.2278,73.6684,36.3906
2019-03-17 12:09:02,1552838942.56,29.5314,1.91554,72.793,94.4769,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:03,1552838943.56,29.5314,1.91554,72.793,94.649,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:04,1552838944.56,29.5314,1.91554,72.5799,94.4905,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:05,1552838945.56,29.5314,1.91554,72.5799,94.6885,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:06,1552838946.56,29.5314,1.91554,72.6939,94.6885,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:07,1552838947.56,29.5314,1.91554,72.49,94.5326,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:08,1552838948.56,29.5314,1.91554,72.49,94.6382,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:09,1552838949.56,29.5314,1.91554,72.49,94.5119,5.39695,6.23439,72.2278,73.6684,35.3203
2019-03-17 12:09:10,1552838950.56,29.5314,1.91554,72.7557,94.912,5.39695,6.23439,72.2278,73.6684,36.8867
2019-03-17 12:09:11,1552838951.56,29.5314,1.91554,72.7557,94.5261,5.39695,6.23439,72.2278,73.6684,36.3906
2019-03-17 12:09:12,1552838952.56,29.5314,1.91554,72.5196,94.5261,5.39695,6.23439,72.2278,73.6684,36.1172
2019-03-17 12:09:13,1552838953.56,29.5314,1.91554,72.7576,94.6616,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:14,1552838954.56,29.5314,1.91554,72.7576,94.5559,5.39695,6.23439,72.2278,73.6684,35.6758
2019-03-17 12:09:15,1552838955.16,29.5314,1.91554,72.7576,94.5559,5.39695,6.23439,72.2278,73.7725,35.6758
2019-03-17 12:09:15,1552838955.56,29.5314,1.91554,72.5981,94.7301,5.39695,6.23439,72.2278,73.7725,35.6758
2019-03-17 12:09:16,1552838956.56,29.5314,1.91554,72.7083,94.5404,5.39695,6.23439,72.2278,73.7725,35.6758
2019-03-17 12:09:17,1552838957.56,29.5314,1.91554,72.5459,94.5404,5.39695,6.23439,72.2278,73.7725,35.4023
2019-03-17 12:09:22,1552838962.56,29.5314,1.91554,72.6886,94.7196,5.39695,6.23439,72.2278,73.7725,35.043
2019-03-17 12:09:23,1552838963.56,29.5314,1.91554,72.6886,94.5311,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:24,1552838964.56,29.5314,1.91554,72.4755,94.5311,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:26,1552838966.56,29.5314,1.91554,72.5979,94.5311,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:27,1552838967.56,29.5314,1.91554,72.8972,94.6603,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:28,1552838968.56,29.5314,1.91554,72.5348,94.6603,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:29,1552838969.56,29.5314,1.91554,72.7537,94.51,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:30,1552838970.56,29.5314,1.91554,72.7537,94.7138,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:31,1552838971.56,29.5314,1.91554,72.5177,94.5762,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:32,1552838972.56,29.5314,1.91554,72.6812,94.5762,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:34,1552838974.56,29.5314,1.91554,72.8531,94.5762,5.39695,6.23439,72.2278,73.7725,34.9062
2019-03-17 12:09:35,1552838975.16,29.5314,1.91554,72.8531,94.5762,5.39695,6.23439,72.3297,73.7725,34.9062
2019-03-17 12:09:35,1552838975.56,29.5314,1.91554,72.5042,94.6824,5.39695,6.23439,72.3297,73.7725,34.9062
2019-03-17 12:09:36,1552838976.57,29.5314,1.91554,72.5042,94.6824,5.39695,6.23439,72.3297,73.7725,34.7695
2019-03-17 12:09:37,1552838977.56,29.5314,1.91554,72.8101,94.545,5.39695,6.23439,72.3297,73.7725,34.7695
2019-03-17 12:09:38,1552838978.56,29.5314,1.91554,72.5215,94.545,5.39695,6.23439,72.3297,73.7725,34.7695
2019-03-17 12:09:39,1552838979.56,29.5314,1.91554,72.9184,94.545,5.39695,6.23439,72.3297,73.7725,34.6328
2019-03-17 12:09:40,1552838980.57,29.5314,1.91554,72.9184,94.545,5.39695,6.23439,72.3297,73.7725,34.9062
2019-03-17 12:09:41,1552838981.56,29.5314,1.91554,72.5375,94.545,5.39695,6.23439,72.3297,73.7725,35.4023
2019-03-17 12:09:43,1552838983.56,29.5314,1.91554,72.7373,94.545,5.39695,6.23439,72.3297,73.7725,35.4023
2019-03-17 12:09:45,1552838985.56,29.5314,1.91554,72.5826,94.545,5.39695,6.23439,72.3297,73.7725,35.4023
2019-03-17 12:09:47,1552838987.56,29.5314,1.91554,72.8212,94.545,5.39695,6.23439,72.3297,73.7725,35.4023
2019-03-17 12:09:48,1552838988.56,29.5314,1.91554,72.643,94.545,5.39695,6.23439,72.3297,73.7725,35.4023
2019-03-17 12:09:49,1552838989.56,29.5314,1.91554,72.7998,94.545,5.39695,6.23439,72.3297,73.7725,34.6328
2019-03-17 12:09:50,1552838990.57,29.5314,1.91554,72.7998,94.545,5.39695,6.23439,72.3297,73.7725,36.6133
2019-03-17 12:09:51,1552838991.57,29.5314,1.91554,72.7998,94.545,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:09:53,1552838993.56,29.5314,1.91554,72.5738,94.656,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:09:54,1552838994.56,29.5314,1.91554,72.5738,94.4853,5.39695,6.23439,72.3297,73.7725,36.1172
2019-03-17 12:09:55,1552838995.56,29.5314,1.91554,72.7994,94.6633,5.39695,6.23439,72.3297,73.7725,36.1172
