Date,CPID:CM02:3001:JT:CV_VALUE,CLL:CM02:2301:DS:LVL,CLL:CM02:2601:US:LVL,Electric Heat Load Setpoint,Electric Heat Load Readback
2019-03-27-11:03:01,24,97.4047,75.0437,20.0,19.36994
2019-03-27-11:03:02,24,97.701,75.0437,20.0,19.36994
2019-03-27-11:03:03,24,97.2857,75.0437,20.0,19.36994
2019-03-27-11:03:04,24,97.4616,75.1972,20.0,19.36994
2019-03-27-11:03:05,24,97.3034,75.1972,20.0,19.36994
2019-03-27-11:03:06,24,97.7578,75.1972,20.0,19.36994
2019-03-27-11:03:07,24,97.3566,74.9874,20.0,19.36994
2019-03-27-11:03:08,24,97.5026,74.9874,20.0,19.36994
2019-03-27-11:03:09,24,97.336,75.1698,20.0,19.36994
2019-03-27-11:03:10,24,97.7103,75.1698,20.0,19.36994
2019-03-27-11:03:11,24,97.5416,75.1698,20.0,19.36994
2019-03-27-11:03:12,24,97.6487,75.1698,20.0,19.36994
2019-03-27-11:03:13,24,97.6487,75.0672,20.0,19.36994
2019-03-27-11:03:14,24,97.3953,75.0672,20.0,19.36994
2019-03-27-11:03:15,24,97.3953,75.1755,20.0,19.36994
2019-03-27-11:03:16,24,97.2872,75.1755,20.0,19.36994
2019-03-27-11:03:17,24,97.477,75.1755,20.0,19.36994
2019-03-27-11:03:18,24,97.2688,75.1755,20.0,19.36994
2019-03-27-11:03:19,24,97.8264,75.1755,20.0,19.36994
2019-03-27-11:03:20,24,97.2726,75.0397,20.0,19.36994
2019-03-27-11:03:21,24,97.5749,75.0397,20.0,19.36994
2019-03-27-11:03:22,24,97.3679,75.1516,20.0,19.36994
2019-03-27-11:03:23,24,97.5981,75.1516,20.0,19.36994
2019-03-27-11:03:24,24,97.3599,75.0229,20.0,19.36994
2019-03-27-11:03:25,24,97.3599,75.0229,20.0,19.36994
2019-03-27-11:03:26,24,97.3599,75.0229,20.0,19.36994
2019-03-27-11:03:27,24,97.3599,75.1705,20.0,19.36994
2019-03-27-11:03:28,24,97.3599,75.1705,20.0,19.36994
2019-03-27-11:03:29,24,97.3599,75.1705,20.0,19.36994
2019-03-27-11:03:30,24,97.7114,75.0651,20.0,19.36994
2019-03-27-11:03:31,24,97.3565,75.0651,20.0,19.36994
2019-03-27-11:03:32,24,97.4687,75.0651,20.0,19.36994
2019-03-27-11:03:33,24,97.2952,75.0651,20.0,19.36994
2019-03-27-11:03:34,24,97.445,75.0651,20.0,19.36994
2019-03-27-11:03:35,24,97.3224,75.0651,20.0,19.36994
2019-03-27-11:03:36,24,97.4718,75.0651,20.0,19.36994
2019-03-27-11:03:37,24,97.581,75.0651,20.0,19.36994
2019-03-27-11:03:38,24,97.3225,75.0651,20.0,19.36994
2019-03-27-11:03:39,24,97.7504,75.0651,20.0,19.36994
2019-03-27-11:03:40,24,97.3656,75.0651,20.0,19.36994
2019-03-27-11:03:41,24,97.7711,75.0651,20.0,19.36994
2019-03-27-11:03:42,24,97.549,75.0651,20.0,19.36994
2019-03-27-11:03:43,24,97.8159,75.2024,20.0,19.36994
2019-03-27-11:03:44,24,97.3125,75.0355,20.0,19.36994
2019-03-27-11:03:45,24,97.3125,75.1388,20.0,19.36994
2019-03-27-11:03:46,24,97.4816,74.9706,20.0,19.36994
2019-03-27-11:03:47,24,97.5848,74.9706,20.0,19.36994
2019-03-27-11:03:48,24,97.5848,75.147,20.0,19.36994
2019-03-27-11:03:49,24,97.2844,75.147,20.0,19.36994
2019-03-27-11:03:50,24,97.2844,74.9175,20.0,19.36994
2019-03-27-11:03:51,24,97.4908,75.1738,20.0,19.36994
2019-03-27-11:03:52,24,97.6395,75.0569,20.0,19.36994
2019-03-27-11:03:53,24,97.6395,75.2017,20.0,19.36994
