time,Unix time,CPV:CM03:3001:JT:POS_RBV,CFICM0312,CHTR:CM03:1155:HV:POWER
2019-02-23 08:02:42,1550926962.19,47.4688,4.4375,14.9379
2019-02-23 08:02:43,1550926963.20,47.4688,4.875,14.9379
2019-02-23 08:02:44,1550926964.20,47.4688,4.21875,14.9379
2019-02-23 08:02:46,1550926966.21,47.4688,4.96875,14.9379
2019-02-23 08:02:47,1550926967.21,47.4688,4.5,14.9379
2019-02-23 08:02:48,1550926968.21,47.4688,4.1875,14.9379
2019-02-23 08:02:49,1550926969.21,47.4688,4.78125,14.9379
2019-02-23 08:02:50,1550926970.22,47.4688,4.625,14.9379
2019-02-23 08:02:51,1550926971.22,47.4688,4.21875,14.9379
2019-02-23 08:02:52,1550926972.22,47.4688,4.625,14.9379
2019-02-23 08:02:53,1550926973.23,47.4688,4.8125,14.9379
2019-02-23 08:02:54,1550926974.23,47.4688,4.28125,14.9379
2019-02-23 08:02:55,1550926975.23,47.4688,4.5,14.9379
2019-02-23 08:02:56,1550926976.24,47.4688,5.03125,14.9379
2019-02-23 08:02:56,1550926976.57,48.543,5.03125,14.9379
2019-02-23 08:02:57,1550926977.24,48.543,4.6875,14.9379
2019-02-23 08:02:59,1550926979.24,48.543,5.1875,14.9379
2019-02-23 08:03:00,1550926980.25,48.543,4.84375,14.9379
2019-02-23 08:03:01,1550926981.25,48.543,4.46875,14.9379
2019-02-23 08:03:02,1550926982.25,48.543,5.0625,14.9379
2019-02-23 08:03:04,1550926984.26,48.543,4.4375,14.9379
2019-02-23 08:03:05,1550926985.26,48.543,4.84375,14.9379
2019-02-23 08:03:06,1550926986.26,48.543,5.125,14.9379
2019-02-23 08:03:07,1550926987.26,48.543,4.46875,14.9379
2019-02-23 08:03:09,1550926989.27,48.543,5.09375,14.9379
2019-02-23 08:03:10,1550926990.27,48.543,4.5625,14.9379
2019-02-23 08:03:11,1550926991.27,48.543,4.375,14.9379
2019-02-23 08:03:12,1550926992.28,48.543,5.03125,14.9379
2019-02-23 08:03:13,1550926993.28,48.543,4.78125,14.9379
